sep=,
"Plate name","Plate ID","Plate type","Well","Sample/NTC/Control","Type","Reaction Mix","Target (Name)","Target (IC)","Target (Type)","Conc. [cp/µL] (dPCR reaction)","Conc. [-] (dPCR reaction)","CI (95%) (dPCR reaction)","Conc. [cp/µL] (undiluted sample)","Conc. [-] (undiluted sample)","Edited fraction","CI (95%)","Concentration factor","Template volume [µl]","Total volume [µl]","Conversion factor","Conversion unit"
"","","","F2","S40_D2","Sample","SYNE1","SYNE1_excl","-","ET","3094.5","-","2.9%","-","-","61.9841%","2%","-","-","-","-","-"
"","","","F3","S40_D3","Sample","SYNE1","SYNE1_incl","-","WT","186.4","-","9.4%","-","-","-","-","-","-","-","-","-"
"","","","F3","S40_D3","Sample","SYNE1","SYNE1_excl","-","ET","329.3","-","7.1%","-","-","63.8476%","4%","-","-","-","-","-"
"","","","F4","S40_D4","Sample","SYNE1","SYNE1_incl","-","WT","15.83","-","31.8%","-","-","-","-","-","-","-","-","-"
"","","","F4","S40_D4","Sample","SYNE1","SYNE1_excl","-","ET","25.87","-","24.9%","-","-","62.0344%","16%","-","-","-","-","-"
"","","","F5","S40_D5","Sample","SYNE1","SYNE1_incl","-","WT","2.542","-","80.0%","-","-","-","-","-","-","-","-","-"
"","","","F5","S40_D5","Sample","SYNE1","SYNE1_excl","-","ET","3.813","-","65.3%","-","-","60.0044%","48%","-","-","-","-","-"
"","","","F6","S40_D6","Sample","SYNE1","SYNE1_incl","-","WT","1.282","-","106.4%","-","-","-","-","-","-","-","-","-"
"","","","F6","S40_D6","Sample","SYNE1","SYNE1_excl","-","ET","0.427","-","147.5%","-","-","24.9977%","197%","-","-","-","-","-"
"","","","F7","S60_D1","Sample","SYNE1","SYNE1_incl","-","WT","22798.2","-","9.8%","-","-","-","-","-","-","-","-","-"
"","","","F7","S60_D1","Sample","SYNE1","SYNE1_excl","-","ET","15685.4","-","4.6%","-","-","40.7587%","6%","-","-","-","-","-"
"","","","F8","S60_D2","Sample","SYNE1","SYNE1_incl","-","WT","2375.2","-","3.1%","-","-","-","-","-","-","-","-","-"
"","","","F8","S60_D2","Sample","SYNE1","SYNE1_excl","-","ET","1574.6","-","3.6%","-","-","39.8656%","3%","-","-","-","-","-"
"","","","F9","S60_D3","Sample","SYNE1","SYNE1_incl","-","WT","284.7","-","7.7%","-","-","-","-","-","-","-","-","-"
"","","","F9","S60_D3","Sample","SYNE1","SYNE1_excl","-","ET","180.1","-","9.7%","-","-","38.7514%","8%","-","-","-","-","-"
"","","","F10","S60_D4","Sample","SYNE1","SYNE1_incl","-","WT","27.06","-","24.3%","-","-","-","-","-","-","-","-","-"
"","","","F10","S60_D4","Sample","SYNE1","SYNE1_excl","-","ET","15.38","-","32.2%","-","-","36.2352%","26%","-","-","-","-","-"
"","","","F11","S60_D5","Sample","SYNE1","SYNE1_incl","-","WT","4.884","-","56.6%","-","-","-","-","-","-","-","-","-"
"","","","F11","S60_D5","Sample","SYNE1","SYNE1_excl","-","ET","2.441","-","80.0%","-","-","33.3253%","74%","-","-","-","-","-"
"","","","F12","S60_D6","Sample","SYNE1","SYNE1_incl","-","WT","0.000","-","-","-","-","-","-","-","-","-","-","-"
"","","","F12","S60_D6","Sample","SYNE1","SYNE1_excl","-","ET","0.397","-","147.5%","-","-","100.0000%","3%","-","-","-","-","-"
"","","","G1","S40_D1","Sample","SYNE1","SYNE1_incl","-","WT","17583.4","-","6.4%","-","-","-","-","-","-","-","-","-"
"","","","G1","S40_D1","Sample","SYNE1","SYNE1_excl","-","ET","28869.3","-","31.5%","-","-","62.1478%","10%","-","-","-","-","-"
"","","","G2","S40_D2","Sample","SYNE1","SYNE1_incl","-","WT","1909.8","-","3.3%","-","-","-","-","-","-","-","-","-"
"","","","G2","S40_D2","Sample","SYNE1","SYNE1_excl","-","ET","3050.3","-","2.9%","-","-","61.4973%","2%","-","-","-","-","-"
"","","","G3","S40_D3","Sample","SYNE1","SYNE1_incl","-","WT","189.2","-","9.2%","-","-","-","-","-","-","-","-","-"
"","","","G3","S40_D3","Sample","SYNE1","SYNE1_excl","-","ET","298.9","-","7.4%","-","-","61.2378%","5%","-","-","-","-","-"
"","","","G4","S40_D4","Sample","SYNE1","SYNE1_incl","-","WT","17.40","-","30.2%","-","-","-","-","-","-","-","-","-"
"","","","G4","S40_D4","Sample","SYNE1","SYNE1_excl","-","ET","26.96","-","24.3%","-","-","60.7810%","15%","-","-","-","-","-"
"","","","G5","S40_D5","Sample","SYNE1","SYNE1_incl","-","WT","4.118","-","62.0%","-","-","-","-","-","-","-","-","-"
"","","","G5","S40_D5","Sample","SYNE1","SYNE1_excl","-","ET","0.823","-","119.1%","-","-","16.6600%","126%","-","-","-","-","-"
"","","","G6","S40_D6","Sample","SYNE1","SYNE1_incl","-","WT","0.000","-","-","-","-","-","-","-","-","-","-","-"
"","","","G6","S40_D6","Sample","SYNE1","SYNE1_excl","-","ET","0.421","-","147.5%","-","-","100.0000%","3%","-","-","-","-","-"
"","","","G7","S60_D1","Sample","SYNE1","SYNE1_incl","-","WT","31093.9","-","31.5%","-","-","-","-","-","-","-","-","-"
"","","","G7","S60_D1","Sample","SYNE1","SYNE1_excl","-","ET","15508.4","-","4.6%","-","-","33.2783%","17%","-","-","-","-","-"
"","","","G8","S60_D2","Sample","SYNE1","SYNE1_incl","-","WT","2424.7","-","3.1%","-","-","-","-","-","-","-","-","-"
"","","","G8","S60_D2","Sample","SYNE1","SYNE1_excl","-","ET","1648.5","-","3.5%","-","-","40.4711%","3%","-","-","-","-","-"
"","","","G9","S60_D3","Sample","SYNE1","SYNE1_incl","-","WT","283.2","-","7.7%","-","-","-","-","-","-","-","-","-"
"","","","G9","S60_D3","Sample","SYNE1","SYNE1_excl","-","ET","178.9","-","9.6%","-","-","38.7188%","8%","-","-","-","-","-"
"","","","G10","S60_D4","Sample","SYNE1","SYNE1_incl","-","WT","26.86","-","24.1%","-","-","-","-","-","-","-","-","-"
"","","","G10","S60_D4","Sample","SYNE1","SYNE1_excl","-","ET","17.47","-","29.9%","-","-","39.4162%","24%","-","-","-","-","-"
"","","","G11","S60_D5","Sample","SYNE1","SYNE1_incl","-","WT","4.021","-","62.0%","-","-","-","-","-","-","-","-","-"
"","","","G11","S60_D5","Sample","SYNE1","SYNE1_excl","-","ET","2.412","-","80.0%","-","-","37.4943%","73%","-","-","-","-","-"
"","","","G12","S60_D6","Sample","SYNE1","SYNE1_incl","-","WT","0.400","-","147.5%","-","-","-","-","-","-","-","-","-"
"","","","G12","S60_D6","Sample","SYNE1","SYNE1_excl","-","ET","0.400","-","147.5%","-","-","50.0000%","98%","-","-","-","-","-"
"","","","H1","S40_D1","Sample","SYNE1","SYNE1_incl","-","WT","17393.5","-","6.2%","-","-","-","-","-","-","-","-","-"
"","","","H1","S40_D1","Sample","SYNE1","SYNE1_excl","-","ET","25473.5","-","40.8%","-","-","59.4245%","13%","-","-","-","-","-"
"","","","H2","S40_D2","Sample","SYNE1","SYNE1_incl","-","WT","1876.3","-","3.4%","-","-","-","-","-","-","-","-","-"
"","","","H2","S40_D2","Sample","SYNE1","SYNE1_excl","-","ET","3032.9","-","2.9%","-","-","61.7798%","2%","-","-","-","-","-"
"","","","H3","S40_D3","Sample","SYNE1","SYNE1_incl","-","WT","176.4","-","9.4%","-","-","-","-","-","-","-","-","-"
"","","","H3","S40_D3","Sample","SYNE1","SYNE1_excl","-","ET","317.1","-","7.1%","-","-","64.2624%","4%","-","-","-","-","-"
"","","","H4","S40_D4","Sample","SYNE1","SYNE1_incl","-","WT","21.44","-","26.7%","-","-","-","-","-","-","-","-","-"
"","","","H4","S40_D4","Sample","SYNE1","SYNE1_excl","-","ET","35.00","-","20.9%","-","-","62.0207%","13%","-","-","-","-","-"
"","","","H5","S40_D5","Sample","SYNE1","SYNE1_incl","-","WT","1.631","-","98.0%","-","-","-","-","-","-","-","-","-"
"","","","H5","S40_D5","Sample","SYNE1","SYNE1_excl","-","ET","3.671","-","65.3%","-","-","69.2372%","43%","-","-","-","-","-"
"","","","H6","S40_D6","Sample","SYNE1","SYNE1_incl","-","WT","0.407","-","147.5%","-","-","-","-","-","-","-","-","-"
"","","","H6","S40_D6","Sample","SYNE1","SYNE1_excl","-","ET","0.000","-","-","-","-","0%","-","-","-","-","-","-"
"","","","H7","S60_D1","Sample","SYNE1","SYNE1_incl","-","WT","29927.5","-","31.6%","-","-","-","-","-","-","-","-","-"
"","","","H7","S60_D1","Sample","SYNE1","SYNE1_excl","-","ET","16056.4","-","5.1%","-","-","34.9174%","17%","-","-","-","-","-"
"","","","H8","S60_D2","Sample","SYNE1","SYNE1_incl","-","WT","2861.6","-","2.9%","-","-","-","-","-","-","-","-","-"
"","","","H8","S60_D2","Sample","SYNE1","SYNE1_excl","-","ET","1901.7","-","3.3%","-","-","39.9240%","3%","-","-","-","-","-"
"","","","H9","S60_D3","Sample","SYNE1","SYNE1_incl","-","WT","263.9","-","7.8%","-","-","-","-","-","-","-","-","-"
"","","","H9","S60_D3","Sample","SYNE1","SYNE1_excl","-","ET","182.3","-","9.3%","-","-","40.8529%","7%","-","-","-","-","-"
"","","","H10","S60_D4","Sample","SYNE1","SYNE1_incl","-","WT","28.14","-","23.3%","-","-","-","-","-","-","-","-","-"
"","","","H10","S60_D4","Sample","SYNE1","SYNE1_excl","-","ET","17.01","-","29.9%","-","-","37.6788%","24%","-","-","-","-","-"
"","","","H11","S60_D5","Sample","SYNE1","SYNE1_incl","-","WT","4.648","-","56.6%","-","-","-","-","-","-","-","-","-"
"","","","H11","S60_D5","Sample","SYNE1","SYNE1_excl","-","ET","1.161","-","106.4%","-","-","19.9913%","108%","-","-","-","-","-"
"","","","H12","S60_D6","Sample","SYNE1","SYNE1_incl","-","WT","0.783","-","119.1%","-","-","-","-","-","-","-","-","-"
