sep=,
"Plate name","Plate ID","Plate type","Well","Sample/NTC/Control","Type","Reaction Mix","Target (Name)","Target (IC)","Target (Type)","Conc. [cp/µL] (dPCR reaction)","Conc. [-] (dPCR reaction)","CI (95%) (dPCR reaction)","Conc. [cp/µL] (undiluted sample)","Conc. [-] (undiluted sample)","Edited fraction","CI (95%)","Concentration factor","Template volume [µl]","Total volume [µl]","Conversion factor","Conversion unit"
"","","","F9","CalB_80","Sample","KIF13A","Excl","-","WT","375.6","-","6.8%","3755.6","-","-","-","1","1","10","-","-"
"","","","F10","CalB_90","Sample","KIF13A","Incl","-","ET","1852.0","-","3.4%","18520.2","-","90.3370%","1%","1","1","10","-","-"
"","","","F10","CalB_90","Sample","KIF13A","Excl","-","WT","198.1","-","9.2%","1981.0","-","-","-","1","1","10","-","-"
"","","","F11","CalB_100","Sample","KIF13A","Incl","-","ET","1864.6","-","3.4%","18646.2","-","99.7812%","0%","1","1","10","-","-"
"","","","F11","CalB_100","Sample","KIF13A","Excl","-","WT","4.089","-","62.0%","40.89","-","-","-","1","1","10","-","-"
"","","","F12","NTC","Non Template Control","KIF13A","Incl","-","ET","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","F12","NTC","Non Template Control","KIF13A","Excl","-","WT","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","G1","CalB_0","Sample","KIF13A","Incl","-","ET","0.773","-","119.1%","7.731","-","0.0415%","119%","1","1","10","-","-"
"","","","G1","CalB_0","Sample","KIF13A","Excl","-","WT","1860.8","-","3.3%","18607.6","-","-","-","1","1","10","-","-"
"","","","G2","CalB_10","Sample","KIF13A","Incl","-","ET","214.8","-","8.6%","2148.5","-","10.4598%","8%","1","1","10","-","-"
"","","","G2","CalB_10","Sample","KIF13A","Excl","-","WT","1839.2","-","3.3%","18392.1","-","-","-","1","1","10","-","-"
"","","","G3","CalB_20","Sample","KIF13A","Incl","-","ET","397.0","-","6.5%","3969.8","-","20.2868%","6%","1","1","10","-","-"
